n, Time(ns)
0,5994
100,49719
200,175603
300,407625
400,691482
500,600859
600,78634
700,88859
800,109311
900,134347
1000,162557
1100,193939
1200,230259
1300,265168
1400,43020
1500,45487
1600,49013
1700,52892
1800,57477
1900,62765
2000,66997
2100,72287
2200,78634
2300,84981
2400,89565
2500,95560
2600,101554
2700,107901
2800,114600
2900,120595
3000,127294
3100,134700
3200,143515
3300,149862
3400,157267
3500,164672
3600,173135
3700,181245
3800,193234
3900,198171
4000,206634
4100,214743
4200,224264
4300,240837
4400,242601
4500,252826
4600,262699
4700,273630
4800,282446
4900,291967
5000,304308
5100,344859
5200,324407
5300,337101
5400,346623
5500,358259
5600,371305
5700,381178
5800,392815
5900,413620
6000,417146
6100,437598
6200,442887
6300,546203
6400,468276
6500,483437
6600,494368
6700,509883
6800,522225
6900,542325
7000,549730
7100,569476
7200,578644
7300,592044
7400,607911
7500,622721
7600,640705
7700,655867
7800,667856
7900,685135
8000,706644
8100,716870
8200,733091
8300,750016
8400,766236
8500,780694
8600,813134
8700,821245
8800,833233
8900,851570
9000,870258
9100,888946
9200,902699
9300,924209
9400,941487
9500,959118
9600,978864
9700,996495
9800,1019767
9900,1038809
10000,1054325
10100,1080066
10200,1094170
10300,1117442
10400,1136837
10500,1153762
10600,1174566
10700,1195371
10800,1225695
10900,1236274
11000,1257432
11100,1305035
11200,1302214
11300,1326544
11400,1346996
11500,1411877
11600,1403415
11700,1419283
11800,1436561
11900,1459128
12000,1482048
12100,1508848
12200,1525773
12300,1581486
12400,1576902
12500,1632968
12600,1632615
12700,1654125
12800,1675988
12900,1697144
13000,1721475
13100,1749332
13200,1772957
13300,1801167
13400,1822323
13500,1848769
13600,1876626
13700,1902015
13800,1927756
13900,1954555
14000,1987701
14100,2007447
14200,2039183
14300,2063161
14400,2088902
14500,2116758
14600,2149199
14700,2174940
14800,2199624
14900,2233827
15000,2405904
15100,2300825
15200,2321629
15300,2374874
15400,2389331
15500,2405199
15600,2434114
15700,2461970
15800,2493354
15900,2523678
16000,2552240
16100,2586444
16200,2611480
16300,2646036
16400,2675303
16500,2707745
16600,2745827
16700,2775446
16800,2800482
16900,2831866
17000,2882289
17100,2900272
17200,2930598
17300,3009584
17400,2989132
17500,3025452
17600,3062829
17700,3090686
17800,3125595
17900,3156273
18000,3213397
18100,3221154
18200,3256769
18300,3299435
18400,3330818
18500,3366785
18600,3443655
18700,3442245
18800,3684493
18900,4540999
19000,3549088
19100,3618906
19200,3628779
19300,3770179
19400,3698950
19500,3723986
19600,3793451
19700,3794156
19800,3965529
19900,3869969
20000,3906641
20100,3975401
20200,3988449
20300,4023005
20400,4055093
20500,4090707
20600,4148183
20700,4169693
20800,4297693
20900,4436624
21000,4284999
21100,4328723
21200,4365395
21300,4405241
21400,4448613
21500,4494806
21600,4522310
21700,4564271
21800,4661594
21900,4692977
22000,4688040
22100,4735643
22200,4829086
22300,4817450
22400,4852712
22500,4899610
22600,4933814
22700,4984944
22800,5074860
22900,5067103
23000,5119290
23100,5160547
23200,5195808
23300,5234949
23400,5292072
23500,5329450
23600,5377406
23700,5405263
23800,5455687
23900,5507874
24000,5546310
24100,5579456
24200,5646100
24300,5676424
24400,5725438
24500,5770574
24600,5810772
24700,5859433
24800,5914088
24900,5954640
25000,6002595
25100,6048083
25200,6097802
25300,6143290
25400,6189835
25500,6238848
25600,6279047
25700,6329824
25800,6376722
25900,6423972
26000,6972644
26100,12587361
26200,9734691
26300,11714634
26400,6812909
26500,6772710
26600,6778705
26700,6892953
26800,6859454
26900,6922219
27000,6970881
27100,7010727
27200,7067498
27300,7113338
27400,7180335
27500,7335487
27600,7297052
27700,7341481
27800,7370396
27900,7675409
28000,7497691
28100,7533657
28200,7591839
28300,7666594
28400,7680698
28500,7768500
28600,7783662
28700,7851717
28800,7973371
28900,8101723
29000,8066109
29100,10106350
29200,13456914
29300,9646537
29400,10310514
29500,9988928
29600,8338329
29700,8381701
29800,8476908
29900,8488897
30000,8546373
30100,8600323
30200,8653216
30300,8723034
30400,8776279
30500,9843297
30600,10409952
30700,8966340
30800,9041447
30900,9111264
31000,9146173
31100,9177204
31200,9278758
31300,9317193
31400,9408168
31500,9445898
31600,9554857
31700,9559088
31800,9596112
31900,9651827
32000,9712123
32100,9794283
32200,9964245
32300,9916289
32400,9942030
32500,10018195
32600,10068266
32700,10156068
32800,10192740
32900,10266084
33000,10298878
33100,10353181
33200,10433225
33300,10471661
33400,10533015
33500,10597545
33600,10737533
33700,10748111
33800,10773148
33900,10843318
34000,10907847
34100,11419847
34200,11037258
